contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,IV_RV_spread,volume_spike,oi_spike,unusual
SPY260407C00653000,2026-04-07 18:19:22+00:00,653.0,3.83,3.93,3.97,-2.77,-41.969696,137688.0,1455,0.21289849609375,True,REGULAR,USD,0.03288393796750014,True,False,True
SPY260407C00670000,2026-04-07 18:19:20+00:00,670.0,0.02,0.02,0.03,-0.07000001,-77.77779,17428.0,10764,0.195320546875,False,REGULAR,USD,0.015305988748750138,False,True,True
SPY260407C00654000,2026-04-07 18:19:43+00:00,654.0,3.07,3.05,3.08,-2.7700002,-48.511387,165341.0,1382,0.1897053686523437,True,REGULAR,USD,0.00969081052609383,True,False,True
SPY260407C00667000,2026-04-07 18:15:16+00:00,667.0,0.04,0.04,0.05,-0.19,-79.16667,27616.0,11442,0.17383638671875,False,REGULAR,USD,-0.0061781714074998495,False,True,True
SPY260407C00655000,2026-04-07 18:20:08+00:00,655.0,2.3,2.29,2.3,-2.7500002,-54.45545,249267.0,3689,0.1710287976074219,False,REGULAR,USD,-0.008985760518827962,True,False,True
SPY260407C00665000,2026-04-07 18:18:11+00:00,665.0,0.06,0.05,0.06,-0.41,-89.13043,66561.0,20777,0.15430533203125,False,REGULAR,USD,-0.02570922609499987,False,True,True
SPY260407C00656000,2026-04-07 18:20:08+00:00,656.0,1.58,1.57,1.58,-2.8400002,-64.84018,261916.0,4881,0.1516198120117187,False,REGULAR,USD,-0.02839474611453116,True,False,True
SPY260407C00657000,2026-04-07 18:20:08+00:00,657.0,1.02,1.01,1.02,-2.65,-72.207085,256283.0,5232,0.1372156591796875,False,REGULAR,USD,-0.04279889894656236,True,False,True
SPY260407C00663000,2026-04-07 18:19:27+00:00,663.0,0.07,0.07,0.08,-0.84000003,-91.304344,57489.0,10482,0.135750830078125,False,REGULAR,USD,-0.04426372804812487,False,True,True
SPY260407C00658000,2026-04-07 18:20:08+00:00,658.0,0.61,0.6,0.61,-2.44,-79.99999,255777.0,10092,0.1262294409179687,False,REGULAR,USD,-0.053785117208281163,True,True,True
SPY260407C00659000,2026-04-07 18:20:08+00:00,659.0,0.36,0.35,0.36,-2.1399999,-85.59999,139241.0,3772,0.1211025390625,False,REGULAR,USD,-0.05891201906374986,True,False,True
SPY260407C00660000,2026-04-07 18:19:56+00:00,660.0,0.21,0.2,0.21,-1.8,-90.0,200163.0,13872,0.1186611572265625,False,REGULAR,USD,-0.06135340089968737,True,True,True
